round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,optimizer
100,0.06228689195816977,0.9649122953414917,0.9545817971229553,0.04662042415827213,0.98994976,0.9846992,relu,30,0,100,10,1,normal,sigmoid,binary_crossentropy,Adam
100,0.0549573396218189,0.9707602262496948,0.9599582552909851,0.04839716679720798,0.9874372,0.91559654,elu,30,0,100,20,1,uniform,sigmoid,binary_crossentropy,Adam
100,0.05192576164967919,0.9824561476707458,0.9766249060630798,0.030550537270554647,0.98994976,0.9851425,elu,30,0,100,20,0,normal,sigmoid,binary_crossentropy,Nadam
100,0.05499872834862847,0.9649122953414917,0.9545817971229553,0.048186315810916265,0.98994976,0.98269176,elu,30,0,100,20,1,normal,sigmoid,binary_crossentropy,Adam
100,0.07233798987509911,0.9766082167625427,0.9678528904914856,0.03244373936617943,0.98994976,0.9861585,relu,30,0,100,10,0,normal,sigmoid,binary_crossentropy,Nadam
100,0.06600125593116932,0.9707602262496948,0.9625183939933777,0.017945547947360568,0.99246234,0.9893737,relu,30,0,100,20,2,normal,sigmoid,binary_crossentropy,Nadam
100,0.05064589865178915,0.9766082167625427,0.9678947329521179,0.037132072976167926,0.98994976,0.9859877,elu,30,0,100,10,0,normal,sigmoid,binary_crossentropy,Nadam
100,0.04784456823478665,0.9824561476707458,0.9757893681526184,0.04042834036248787,0.98994976,0.9875832,elu,30,0,100,10,2,uniform,sigmoid,binary_crossentropy,Nadam
100,0.0630412866737236,0.9649122953414917,0.9545817971229553,0.033805559057012276,0.98994976,0.9837491,relu,30,0,100,20,1,uniform,sigmoid,binary_crossentropy,Adam
100,0.05753624200690211,0.9649122953414917,0.9545817971229553,0.05145596796833915,0.98994976,0.98359823,elu,30,0,100,10,1,normal,sigmoid,binary_crossentropy,Adam
